"election_type","departamento_bin","part_org","ads","mean_efficiency","median_efficiency","total_spend_usd"
"Internal elections","Interior","Partido Colorado",594,1203.39856742575,757.565656565657,65103
"Internal elections","Interior","Frente Amplio",222,882.107761079042,460.652762342249,73989
"Internal elections","Interior","Partido Nacional",1492,630.243914193786,454.535353535354,224554
"Internal elections","Interior","Otros",317,494.423716638242,191.909090909091,29591.5
"Internal elections","Montevideo","Partido Nacional",186,1091.66723418324,901.801603206413,45207
"Internal elections","Montevideo","Otros",30,918.10482753961,252.515151515152,1785
"Internal elections","Montevideo","Frente Amplio",52,819.340126417837,454.535353535354,7974
"Internal elections","Montevideo","Partido Colorado",23,258.999950060442,117.053511705686,1638.5
"National elections","Interior","Frente Amplio",1472,945.592026289564,678.535714285714,215463.203638623
"National elections","Interior","Partido Colorado",730,813.871728508504,548.360106868399,117986.437131057
"National elections","Interior","Otros",790,768.667276505742,454.535353535354,63216.8502522511
"National elections","Interior","Partido Nacional",1872,554.746701787623,396.068181818182,195522.082505875
"National elections","Montevideo","Otros",94,952.217749545952,555.545454545455,6385.05110227418
"National elections","Montevideo","Frente Amplio",364,946.317984577144,600.3601306036,44556.2461903211
"National elections","Montevideo","Partido Nacional",589,767.421543943664,454.51739656806,89557.0211247467
"National elections","Montevideo","Partido Colorado",110,435.338639262783,252.515151515152,52249.235038008
